Plate,Replicate,Row,Column,Well,WellType,drugs,strains
mainMutants,3,A,1,A1,EMPTY,NA,NA
mainMutants,3,B,1,B1,EMPTY,NA,NA
mainMutants,3,C,1,C1,EMPTY,NA,NA
mainMutants,3,D,1,D1,EMPTY,NA,NA
mainMutants,3,E,1,E1,EMPTY,NA,NA
mainMutants,3,F,1,F1,EMPTY,NA,NA
mainMutants,3,G,1,G1,EMPTY,NA,NA
mainMutants,3,H,1,H1,EMPTY,NA,NA
mainMutants,3,A,2,A2,EMPTY,NA,NA
mainMutants,3,B,2,B2,DATA,BOTH,STP3_1C9
mainMutants,3,C,2,C2,DATA,NONE,STP3_1C9
mainMutants,3,D,2,D2,DATA,STR+,STP3_1C9
mainMutants,3,E,2,E2,DATA,RIF-,STP3_1C9
mainMutants,3,F,2,F2,DATA,STR-,STP3_1C9
mainMutants,3,G,2,G2,DATA,RIF+,STP3_1C9
mainMutants,3,H,2,H2,EMPTY,NA,NA
mainMutants,3,A,3,A3,EMPTY,NA,NA
mainMutants,3,B,3,B3,DATA,BOTH,STP2_G9
mainMutants,3,C,3,C3,DATA,NONE,STP2_G9
mainMutants,3,D,3,D3,DATA,STR+,STP2_G9
mainMutants,3,E,3,E3,DATA,RIF-,STP2_G9
mainMutants,3,F,3,F3,DATA,STR-,STP2_G9
mainMutants,3,G,3,G3,DATA,RIF+,STP2_G9
mainMutants,3,H,3,H3,EMPTY,NA,NA
mainMutants,3,A,4,A4,EMPTY,NA,NA
mainMutants,3,B,4,B4,DATA,BOTH,STP4_1E3
mainMutants,3,C,4,C4,DATA,NONE,STP4_1E3
mainMutants,3,D,4,D4,DATA,STR+,STP4_1E3
mainMutants,3,E,4,E4,DATA,RIF-,STP4_1E3
mainMutants,3,F,4,F4,DATA,STR-,STP4_1E3
mainMutants,3,G,4,G4,DATA,RIF+,STP4_1E3
mainMutants,3,H,4,H4,EMPTY,NA,NA
mainMutants,3,A,5,A5,EMPTY,NA,NA
mainMutants,3,B,5,B5,BLANK,BOTH,none
mainMutants,3,C,5,C5,BLANK,NONE,none
mainMutants,3,D,5,D5,BLANK,STR+,none
mainMutants,3,E,5,E5,BLANK,RIF-,none
mainMutants,3,F,5,F5,BLANK,STR-,none
mainMutants,3,G,5,G5,BLANK,RIF+,none
mainMutants,3,H,5,H5,EMPTY,NA,NA
mainMutants,3,A,6,A6,EMPTY,NA,NA
mainMutants,3,B,6,B6,DATA,BOTH,STP2_D5b
mainMutants,3,C,6,C6,DATA,NONE,STP2_D5b
mainMutants,3,D,6,D6,DATA,STR+,STP2_D5b
mainMutants,3,E,6,E6,DATA,RIF-,STP2_D5b
mainMutants,3,F,6,F6,DATA,STR-,STP2_D5b
mainMutants,3,G,6,G6,DATA,RIF+,STP2_D5b
