Plate,Replicate,Row,Column,Well,WellType,drugs,strains
secondBatchMutants,2,A,9,A9,EMPTY,NA,NA
secondBatchMutants,2,B,9,B9,DATA,RIF-,STP1_D5
secondBatchMutants,2,C,9,C9,DATA,STR+,STP1_D5
secondBatchMutants,2,D,9,D9,DATA,NONE,STP1_D5
secondBatchMutants,2,E,9,E9,DATA,BOTH,STP1_D5
secondBatchMutants,2,F,9,F9,DATA,STR-,STP1_D5
secondBatchMutants,2,G,9,G9,DATA,RIF+,STP1_D5
secondBatchMutants,2,H,9,H9,EMPTY,NA,NA
secondBatchMutants,2,A,10,A10,EMPTY,NA,NA
secondBatchMutants,2,B,10,B10,DATA,RIF-,RIF2_F4
secondBatchMutants,2,C,10,C10,DATA,STR+,RIF2_F4
secondBatchMutants,2,D,10,D10,DATA,NONE,RIF2_F4
secondBatchMutants,2,E,10,E10,DATA,BOTH,RIF2_F4
secondBatchMutants,2,F,10,F10,DATA,STR-,RIF2_F4
secondBatchMutants,2,G,10,G10,DATA,RIF+,RIF2_F4
secondBatchMutants,2,H,10,H10,EMPTY,NA,NA
secondBatchMutants,2,A,11,A11,EMPTY,NA,NA
secondBatchMutants,2,B,11,B11,DATA,RIF-,STP4_2C5
secondBatchMutants,2,C,11,C11,DATA,STR+,STP4_2C5
secondBatchMutants,2,D,11,D11,DATA,NONE,STP4_2C5
secondBatchMutants,2,E,11,E11,DATA,BOTH,STP4_2C5
secondBatchMutants,2,F,11,F11,DATA,STR-,STP4_2C5
secondBatchMutants,2,G,11,G11,DATA,RIF+,STP4_2C5
secondBatchMutants,2,H,11,H11,EMPTY,NA,NA
secondBatchMutants,2,A,12,A12,EMPTY,NA,NA
secondBatchMutants,2,B,12,B12,EMPTY,NA,NA
secondBatchMutants,2,C,12,C12,EMPTY,NA,NA
secondBatchMutants,2,D,12,D12,EMPTY,NA,NA
secondBatchMutants,2,E,12,E12,EMPTY,NA,NA
secondBatchMutants,2,F,12,F12,EMPTY,NA,NA
secondBatchMutants,2,G,12,G12,EMPTY,NA,NA
secondBatchMutants,2,H,12,H12,EMPTY,NA,NA
