Plate,Replicate,Row,Column,Well,WellType,drugs,strains
mainMutants,1,A,1,A1,EMPTY,NA,NA
mainMutants,1,B,1,B1,EMPTY,NA,NA
mainMutants,1,C,1,C1,EMPTY,NA,NA
mainMutants,1,D,1,D1,EMPTY,NA,NA
mainMutants,1,E,1,E1,EMPTY,NA,NA
mainMutants,1,F,1,F1,EMPTY,NA,NA
mainMutants,1,G,1,G1,EMPTY,NA,NA
mainMutants,1,H,1,H1,EMPTY,NA,NA
mainMutants,1,A,2,A2,EMPTY,NA,NA
mainMutants,1,B,2,B2,DATA,STR+,STP2_G9
mainMutants,1,C,2,C2,DATA,STR-,STP2_G9
mainMutants,1,D,2,D2,DATA,RIF-,STP2_G9
mainMutants,1,E,2,E2,DATA,BOTH,STP2_G9
mainMutants,1,F,2,F2,DATA,RIF+,STP2_G9
mainMutants,1,G,2,G2,DATA,NONE,STP2_G9
mainMutants,1,H,2,H2,EMPTY,NA,NA
mainMutants,1,A,3,A3,EMPTY,NA,NA
mainMutants,1,B,3,B3,DATA,STR+,STP3_1C9
mainMutants,1,C,3,C3,DATA,STR-,STP3_1C9
mainMutants,1,D,3,D3,DATA,RIF-,STP3_1C9
mainMutants,1,E,3,E3,DATA,BOTH,STP3_1C9
mainMutants,1,F,3,F3,DATA,RIF+,STP3_1C9
mainMutants,1,G,3,G3,DATA,NONE,STP3_1C9
mainMutants,1,H,3,H3,EMPTY,NA,NA
mainMutants,1,A,4,A4,EMPTY,NA,NA
mainMutants,1,B,4,B4,DATA,STR+,STP3_1D5
mainMutants,1,C,4,C4,DATA,STR-,STP3_1D5
mainMutants,1,D,4,D4,DATA,RIF-,STP3_1D5
mainMutants,1,E,4,E4,DATA,BOTH,STP3_1D5
mainMutants,1,F,4,F4,DATA,RIF+,STP3_1D5
mainMutants,1,G,4,G4,DATA,NONE,STP3_1D5
mainMutants,1,H,4,H4,EMPTY,NA,NA
mainMutants,1,A,5,A5,EMPTY,NA,NA
mainMutants,1,B,5,B5,DATA,STR+,RIF3_1B10
mainMutants,1,C,5,C5,DATA,STR-,RIF3_1B10
mainMutants,1,D,5,D5,DATA,RIF-,RIF3_1B10
mainMutants,1,E,5,E5,DATA,BOTH,RIF3_1B10
mainMutants,1,F,5,F5,DATA,RIF+,RIF3_1B10
mainMutants,1,G,5,G5,DATA,NONE,RIF3_1B10
mainMutants,1,H,5,H5,EMPTY,NA,NA
mainMutants,1,A,6,A6,EMPTY,NA,NA
mainMutants,1,B,6,B6,BLANK,STR+,none
mainMutants,1,C,6,C6,BLANK,STR-,none
mainMutants,1,D,6,D6,BLANK,RIF-,none
mainMutants,1,E,6,E6,BLANK,BOTH,none
mainMutants,1,F,6,F6,BLANK,RIF+,none
mainMutants,1,G,6,G6,BLANK,NONE,none
mainMutants,1,H,6,H6,EMPTY,NA,NA
mainMutants,1,A,7,A7,EMPTY,NA,NA
